dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,speed_avg,average_error,average_error_normal
SP_C_F_CCW_2,SP_C,F,CCW,2,10hz,1,CTRV,True,13.97541369897406,1.604083709267236
SP_C_A_CW_2,SP_C,A,CW,2,full,1,CTRV,True,5.764849379738087,1.876903922777583
SP_C_A_CW_2,SP_C,A,CW,2,2.5hz,1,CTRV,True,22.849437044481892,2.1027887020956686
SP_C_A_CW_2,SP_C,A,CW,2,10hz,1,CTRV,True,9.626469175490524,1.4317822731651146
SP_C_F_CW_3,SP_C,F,CW,3,full,1,CTRV,True,5.223148214612731,1.4619379768999563
SP_C_F_CW_3,SP_C,F,CW,3,2.5hz,1,CTRV,True,16.335770102205323,0.48090342333932096
SP_C_F_CW_3,SP_C,F,CW,3,10hz,1,CTRV,True,12.373594179089523,1.8233027803005037
SP_C_A_CW_1,SP_C,A,CW,1,full,1,CTRV,True,4.2458057679784025,1.7551250258202231
SP_C_A_CW_1,SP_C,A,CW,1,2.5hz,1,CTRV,True,23.521115952371986,1.1550000883122686
SP_C_A_CW_1,SP_C,A,CW,1,10hz,1,CTRV,True,9.284878934252715,1.640058802364894
SP_C_A_CCW_2,SP_C,A,CCW,2,full,1,CTRV,True,8.331316961110094,1.7781437800607114
SP_C_A_CCW_2,SP_C,A,CCW,2,2.5hz,1,CTRV,True,45.89958306077926,1.4659340838901742
SP_C_A_CCW_2,SP_C,A,CCW,2,10hz,1,CTRV,True,13.440015397353893,1.7078466470574318
SP_C_A_CCW_3,SP_C,A,CCW,3,full,1,CTRV,True,4.589717982616939,1.4584748517291397
SP_C_A_CCW_3,SP_C,A,CCW,3,2.5hz,1,CTRV,True,18.51562453009275,0.6825265042736539
SP_C_A_CCW_3,SP_C,A,CCW,3,10hz,1,CTRV,True,10.492385841614407,1.471146904412118
SP_C_F_CCW_3,SP_C,F,CCW,3,full,1,CTRV,True,5.308419450373603,1.6630654883670937
SP_C_F_CCW_3,SP_C,F,CCW,3,2.5hz,1,CTRV,True,19.080840087173836,0.7859041017547523
SP_C_F_CCW_3,SP_C,F,CCW,3,10hz,1,CTRV,True,9.184046197007987,1.9770708590349133
SP_C_A_CW_3,SP_C,A,CW,3,full,1,CTRV,True,4.2458057679784025,1.7551250258202231
SP_C_A_CW_3,SP_C,A,CW,3,2.5hz,1,CTRV,True,23.521115952371986,1.1550000883122686
SP_C_A_CW_3,SP_C,A,CW,3,10hz,1,CTRV,True,9.284878934252715,1.640058802364894
SP_C_F_CCW_4,SP_C,F,CCW,4,full,1,CTRV,True,5.46773972476112,1.8832297251873948
SP_C_F_CCW_4,SP_C,F,CCW,4,2.5hz,1,CTRV,True,27.328602092321347,1.2183132465931952
SP_C_F_CCW_4,SP_C,F,CCW,4,10hz,1,CTRV,True,10.761758051071073,1.5656216461920738
SP_C_F_CW_4,SP_C,F,CW,4,full,1,CTRV,True,4.808909870238628,1.7351061109861132
SP_C_F_CW_4,SP_C,F,CW,4,2.5hz,1,CTRV,True,17.753367716565556,0.6177282983585828
SP_C_F_CW_4,SP_C,F,CW,4,10hz,1,CTRV,True,10.246922542408896,2.411238109418399
SP_C_F_CW_1,SP_C,F,CW,1,full,1,CTRV,True,4.030627064430981,1.6201620979455442
SP_C_F_CW_1,SP_C,F,CW,1,2.5hz,1,CTRV,True,17.52467616322415,0.8959425894635338
SP_C_F_CW_1,SP_C,F,CW,1,10hz,1,CTRV,True,8.75622836873757,1.5460422019658502
SP_C_F_CCW_1,SP_C,F,CCW,1,full,1,CTRV,True,5.695658400542098,1.7446106167026592
