dataset_name,path_type,acceleration_type,path_direction,path_number,sample_rate,ph,prediction_model,average_error,average_error_normal
IL_C_F_RCW_2,IL_C,F,RCW,2,full,4,CTRV,128.4900979066385,9.374830055544098
IL_C_F_RCW_2,IL_C,F,RCW,2,10hz,4,CTRV,135.1308511962088,3.616595896397735
IL_C_F_RCW_1,IL_C,F,RCW,1,full,4,CTRV,125.1426235049081,9.172539140335497
IL_C_F_RCW_1,IL_C,F,RCW,1,10hz,4,CTRV,130.9913813479084,3.8114482045802975
IL_C_A_RCCW_2,IL_C,A,RCCW,2,full,4,CTRV,129.1657341494307,7.363586660255441
IL_C_A_RCCW_2,IL_C,A,RCCW,2,10hz,4,CTRV,144.52679398619165,3.3168241648765684
IL_C_A_RCCW_3,IL_C,A,RCCW,3,full,4,CTRV,142.18288704011312,11.142978760965992
IL_C_A_RCCW_3,IL_C,A,RCCW,3,10hz,4,CTRV,156.15077613447525,4.714625848206413
IL_C_A_RCCW_1,IL_C,A,RCCW,1,full,4,CTRV,133.4860391076987,9.88178626824218
IL_C_A_RCCW_1,IL_C,A,RCCW,1,10hz,4,CTRV,143.4946318603484,3.967575045819006
IL_C_F_RCW_7,IL_C,F,RCW,7,full,4,CTRV,124.66712838505003,7.599612661096097
IL_C_F_RCW_7,IL_C,F,RCW,7,10hz,4,CTRV,128.97961239542406,3.3272680252366613
IL_C_F_RCW_3,IL_C,F,RCW,3,full,4,CTRV,121.13860512549438,7.39830378045282
IL_C_F_RCW_3,IL_C,F,RCW,3,10hz,4,CTRV,120.81727943961282,2.962782605540175
IL_C_A_RCW_1,IL_C,A,RCW,1,full,4,CTRV,129.65277036900866,7.78295467918576
IL_C_A_RCW_1,IL_C,A,RCW,1,10hz,4,CTRV,147.74976311856292,3.5344210707734924
IL_C_A_RCW_4,IL_C,A,RCW,4,full,4,CTRV,127.1467262124559,8.580251967593384
IL_C_A_RCW_4,IL_C,A,RCW,4,10hz,4,CTRV,142.07905801608075,3.878775606402905
IL_C_F_RCCW_2,IL_C,F,RCCW,2,full,4,CTRV,138.54028113101614,10.917646915435116
IL_C_F_RCCW_2,IL_C,F,RCCW,2,10hz,4,CTRV,144.01059736773365,4.668262243539275
IL_C_F_RCW_5,IL_C,F,RCW,5,full,4,CTRV,124.53770837312194,8.77566935790755
IL_C_F_RCW_5,IL_C,F,RCW,5,10hz,4,CTRV,126.39973035672516,3.702906670658325
DL_C_F_TLBR_5,DL_C,F,TLBR,5,full,4,CTRV,86.50052792232543,2.967130107777189
DL_C_F_TLBR_5,DL_C,F,TLBR,5,10hz,4,CTRV,94.6237056688831,1.5243749293719362
DL_C_F_BRTL_5,DL_C,F,BRTL,5,full,4,CTRV,88.34200569119884,3.756377177243908
DL_C_F_BRTL_5,DL_C,F,BRTL,5,10hz,4,CTRV,109.55821821708682,1.8475452566651456
DL_C_A_BRTL_2,DL_C,A,BRTL,2,full,4,CTRV,111.06211564594932,4.664041055509935
DL_C_A_BRTL_2,DL_C,A,BRTL,2,10hz,4,CTRV,153.13010102472373,2.4522171145436604
DL_C_F_BRTL_1,DL_C,F,BRTL,1,full,4,CTRV,94.08753650484724,3.5347990764602364
DL_C_F_BRTL_1,DL_C,F,BRTL,1,10hz,4,CTRV,121.84927393868838,2.0532164010011424
DL_C_F_TLBR_6,DL_C,F,TLBR,6,full,4,CTRV,79.21093598918722,3.673168208103585
DL_C_F_TLBR_6,DL_C,F,TLBR,6,10hz,4,CTRV,74.02240977956244,1.478787531176354
DL_C_F_BRTL_2,DL_C,F,BRTL,2,full,4,CTRV,90.21249432818033,2.791471944909638
DL_C_F_BRTL_2,DL_C,F,BRTL,2,10hz,4,CTRV,91.85617740301817,1.471378583570911
DL_C_A_TLBR_3,DL_C,A,TLBR,3,full,4,CTRV,83.29485953593912,3.839976714695905
DL_C_A_TLBR_3,DL_C,A,TLBR,3,10hz,4,CTRV,87.10938158430663,1.5342027912574008
DL_C_A_TLBR_1,DL_C,A,TLBR,1,full,4,CTRV,120.3727324449916,6.946156669809368
DL_C_A_TLBR_1,DL_C,A,TLBR,1,10hz,4,CTRV,151.2330899669072,2.712439419817553
DL_C_F_TLBR_2,DL_C,F,TLBR,2,full,4,CTRV,102.8687887887818,4.365928959832219
DL_C_F_TLBR_2,DL_C,F,TLBR,2,10hz,4,CTRV,114.79968808161183,1.9563395419277876
DL_C_F_TLBR_4,DL_C,F,TLBR,4,full,4,CTRV,87.1390779181581,5.169502881131842
DL_C_F_TLBR_4,DL_C,F,TLBR,4,10hz,4,CTRV,90.88808054196798,2.3225263022399814
DL_C_A_TLBR_2,DL_C,A,TLBR,2,full,4,CTRV,107.79395916303062,3.903430495207735
DL_C_A_TLBR_2,DL_C,A,TLBR,2,10hz,4,CTRV,80.48017451650588,1.0461795057469596
DL_C_A_BRTL_1,DL_C,A,BRTL,1,full,4,CTRV,111.62396714847743,2.6445433747621587
DL_C_A_BRTL_1,DL_C,A,BRTL,1,10hz,4,CTRV,129.1539701283759,1.3019417192967893
DL_C_A_BRTL_3,DL_C,A,BRTL,3,full,4,CTRV,113.77845022578384,4.502007022410127
DL_C_A_BRTL_3,DL_C,A,BRTL,3,10hz,4,CTRV,124.86162360327492,1.545294540716292
DL_C_F_BRTL_6,DL_C,F,BRTL,6,full,4,CTRV,87.47439016610633,5.199328063960646
DL_C_F_BRTL_6,DL_C,F,BRTL,6,10hz,4,CTRV,95.59779636785814,2.313661469758126
DL_C_F_BRTL_4,DL_C,F,BRTL,4,full,4,CTRV,90.58150923566134,3.877477431904365
DL_C_F_BRTL_4,DL_C,F,BRTL,4,10hz,4,CTRV,110.91162444772948,1.9756185008514484
DL_C_F_BRTL_3,DL_C,F,BRTL,3,full,4,CTRV,100.19725567372456,3.78460834533686
DL_C_F_BRTL_3,DL_C,F,BRTL,3,10hz,4,CTRV,116.55835040952532,1.8384652467669915
DL_C_F_TLBR_1,DL_C,F,TLBR,1,full,4,CTRV,91.7936103944394,3.887294087087198
DL_C_F_TLBR_1,DL_C,F,TLBR,1,10hz,4,CTRV,113.20143591219215,2.072054657497286
DL_C_F_TLBR_3,DL_C,F,TLBR,3,full,4,CTRV,97.53425736320102,3.9219551224553584
DL_C_F_TLBR_3,DL_C,F,TLBR,3,10hz,4,CTRV,94.53200031760554,1.6802010694964913
HL_C_F_RL_4,HL_C,F,RL,4,full,4,CTRV,96.66456941716812,4.471396109908571
HL_C_F_RL_4,HL_C,F,RL,4,10hz,4,CTRV,93.72738285837842,1.9002332886189843
HL_C_A_RL_2,HL_C,A,RL,2,full,4,CTRV,122.7431516024698,3.796074176923812
HL_C_A_RL_2,HL_C,A,RL,2,10hz,4,CTRV,141.97756527379576,1.8332253040246265
HL_C_F_RL_3,HL_C,F,RL,3,full,4,CTRV,91.59562303991704,3.2522040559421304
HL_C_F_RL_3,HL_C,F,RL,3,10hz,4,CTRV,89.944631235702,1.4064304237162168
HL_C_F_RL_1,HL_C,F,RL,1,full,4,CTRV,89.28289115879822,4.494908688998153
HL_C_F_RL_1,HL_C,F,RL,1,10hz,4,CTRV,100.03687314939523,1.948183854366197
HL_C_A_LR_1,HL_C,A,LR,1,full,4,CTRV,96.88591643804084,4.315776420053134
HL_C_A_LR_1,HL_C,A,LR,1,10hz,4,CTRV,74.26775451666673,1.1226666315279128
HL_C_A_RL_3,HL_C,A,RL,3,full,4,CTRV,132.64806204149212,4.431183676453502
HL_C_A_RL_3,HL_C,A,RL,3,10hz,4,CTRV,151.98031387276262,2.113241701937252
HL_C_F_LR_1,HL_C,F,LR,1,full,4,CTRV,86.75224940890965,5.009329547735755
HL_C_F_LR_1,HL_C,F,LR,1,10hz,4,CTRV,89.76580248542122,1.939268445401903
HL_C_F_LR_3,HL_C,F,LR,3,full,4,CTRV,94.80152850155255,4.22611807440646
HL_C_F_LR_3,HL_C,F,LR,3,10hz,4,CTRV,96.22417752108076,1.5901561904623505
HL_C_F_LR_4,HL_C,F,LR,4,full,4,CTRV,93.94453082741484,5.177865444130252
HL_C_F_LR_4,HL_C,F,LR,4,10hz,4,CTRV,93.62288128052948,2.049718063831356
HL_C_A_LR_3,HL_C,A,LR,3,full,4,CTRV,89.19090398285498,4.541845249042748
HL_C_A_LR_3,HL_C,A,LR,3,10hz,4,CTRV,69.317432795902,1.4382925532297983
HL_C_A_LR_2,HL_C,A,LR,2,full,4,CTRV,91.7435001828874,3.7924641999441326
HL_C_A_LR_2,HL_C,A,LR,2,10hz,4,CTRV,80.828216015097,1.2510710878301643
HL_C_F_RL_6,HL_C,F,RL,6,full,4,CTRV,97.41332538844836,4.381773854546226
HL_C_F_RL_6,HL_C,F,RL,6,10hz,4,CTRV,112.60776417217804,2.2799151424535355
HL_C_A_RL_1,HL_C,A,RL,1,full,4,CTRV,95.57338366698322,2.880612845874018
HL_C_A_RL_1,HL_C,A,RL,1,10hz,4,CTRV,110.08450790794224,1.68253115515022
HL_C_F_RL_5,HL_C,F,RL,5,full,4,CTRV,94.66752736409644,3.711406496414953
HL_C_F_RL_5,HL_C,F,RL,5,10hz,4,CTRV,103.22061954630986,1.5364526640878078
HL_C_F_LR_2,HL_C,F,LR,2,full,4,CTRV,91.06888127477836,5.084033628233689
HL_C_F_LR_2,HL_C,F,LR,2,10hz,4,CTRV,90.32115340160264,1.824935876520616
HL_C_F_LR_6,HL_C,F,LR,6,full,4,CTRV,88.06211106494456,5.8406399234392765
HL_C_F_LR_6,HL_C,F,LR,6,10hz,4,CTRV,88.20326181731488,2.268739451365004
HL_C_F_RL_2,HL_C,F,RL,2,full,4,CTRV,88.5643734045136,4.153134289046072
HL_C_F_RL_2,HL_C,F,RL,2,10hz,4,CTRV,100.27867876631328,1.8364353914104596
HL_C_F_LR_5,HL_C,F,LR,5,full,4,CTRV,98.23732049323004,4.204841113808792
HL_C_F_LR_5,HL_C,F,LR,5,10hz,4,CTRV,100.65818022229683,1.6467009807253672
VL_C_F_TD_3,VL_C,F,TD,3,full,4,CTRV,62.499726482129255,4.120944098441362
VL_C_F_TD_3,VL_C,F,TD,3,10hz,4,CTRV,72.72561000957651,1.7354434570791162
VL_C_F_BU_5,VL_C,F,BU,5,full,4,CTRV,58.29401123055311,3.1498631888997384
VL_C_F_BU_5,VL_C,F,BU,5,10hz,4,CTRV,67.1577747427833,1.403592456460162
VL_C_F_BU_6,VL_C,F,BU,6,full,4,CTRV,53.25633401564683,2.3459789326411937
VL_C_F_BU_6,VL_C,F,BU,6,10hz,4,CTRV,56.150534358479945,1.1390691521904317
VL_C_F_TD_5,VL_C,F,TD,5,full,4,CTRV,51.41661742236766,4.912245955330091
VL_C_F_TD_5,VL_C,F,TD,5,10hz,4,CTRV,78.52247030959717,1.424985463906847
VL_C_A_TD_1,VL_C,A,TD,1,full,4,CTRV,69.39417916694785,3.043668785760776
VL_C_A_TD_1,VL_C,A,TD,1,10hz,4,CTRV,102.01064150772436,1.6186828788874783
VL_C_A_BU_3,VL_C,A,BU,3,full,4,CTRV,60.19993999201051,1.938509154390112
VL_C_A_BU_3,VL_C,A,BU,3,10hz,4,CTRV,51.29382797056567,0.6055758398059192
VL_C_A_BU_1,VL_C,A,BU,1,full,4,CTRV,61.76148816222431,2.869687812553852
VL_C_A_BU_1,VL_C,A,BU,1,10hz,4,CTRV,82.70042189929471,1.1300727826520138
VL_C_F_TD_2,VL_C,F,TD,2,full,4,CTRV,52.49863205943962,2.7262144897327256
VL_C_F_TD_2,VL_C,F,TD,2,10hz,4,CTRV,64.89594306160234,1.4212053648719256
VL_C_A_TD_3,VL_C,A,TD,3,full,4,CTRV,66.5769376349241,2.992630521412231
VL_C_A_TD_3,VL_C,A,TD,3,10hz,4,CTRV,85.42109878419981,1.7874851394649205
VL_C_F_TD_6,VL_C,F,TD,6,full,4,CTRV,64.79944985650022,5.462259966955942
VL_C_F_TD_6,VL_C,F,TD,6,10hz,4,CTRV,74.61392662505256,1.9089167185340348
VL_C_F_BU_1,VL_C,F,BU,1,full,4,CTRV,69.72144201398626,4.152269745499881
VL_C_F_BU_1,VL_C,F,BU,1,10hz,4,CTRV,82.02077868743245,1.7435330140389498
VL_C_F_TD_1,VL_C,F,TD,1,full,4,CTRV,53.664773972135045,2.858547260834608
VL_C_F_TD_1,VL_C,F,TD,1,10hz,4,CTRV,62.58764848298444,1.3305445032776613
VL_C_F_TD_4,VL_C,F,TD,4,full,4,CTRV,51.094809699526216,4.398263755397077
VL_C_F_TD_4,VL_C,F,TD,4,10hz,4,CTRV,75.24058721116886,1.6341484598415417
VL_C_A_TD_2,VL_C,A,TD,2,full,4,CTRV,62.00031113795692,2.1335174370845285
VL_C_A_TD_2,VL_C,A,TD,2,10hz,4,CTRV,57.86975892091792,0.8673318581282472
VL_C_A_BU_2,VL_C,A,BU,2,full,4,CTRV,59.356122998826535,1.737180250724638
VL_C_A_BU_2,VL_C,A,BU,2,10hz,4,CTRV,44.00847107499438,0.5037982752319399
VL_C_F_BU_4,VL_C,F,BU,4,full,4,CTRV,65.70647827657706,2.5109900578473856
VL_C_F_BU_4,VL_C,F,BU,4,10hz,4,CTRV,85.1706724362246,1.1968064102338871
VL_C_F_BU_3,VL_C,F,BU,3,full,4,CTRV,57.81044050311305,3.1998616244324194
VL_C_F_BU_3,VL_C,F,BU,3,10hz,4,CTRV,68.6734330825178,1.477533852695206
VL_C_F_BU_2,VL_C,F,BU,2,full,4,CTRV,62.82939277510499,3.5559305848330816
VL_C_F_BU_2,VL_C,F,BU,2,10hz,4,CTRV,64.80155598590683,1.432874335213799
VL_C_F_TD_3,VL_C,F,TD,3,full,1,CTRV,57.40369076812171,22.205041918642145
VL_C_F_TD_3,VL_C,F,TD,3,10hz,1,CTRV,54.65004730677397,10.24949631873574
VL_C_F_BU_5,VL_C,F,BU,5,full,1,CTRV,49.80361114926294,13.094276830263444
VL_C_F_BU_5,VL_C,F,BU,5,10hz,1,CTRV,46.99851889400026,5.424015145052518
VL_C_F_BU_6,VL_C,F,BU,6,full,1,CTRV,51.19525923292136,13.776458901981188
VL_C_F_BU_6,VL_C,F,BU,6,10hz,1,CTRV,42.10728359879692,10.15867388121536
VL_C_F_TD_5,VL_C,F,TD,5,full,1,CTRV,45.27901873134422,84.01177266524003
VL_C_F_TD_5,VL_C,F,TD,5,10hz,1,CTRV,41.55137040604036,12.925364408988496
VL_C_A_TD_1,VL_C,A,TD,1,full,1,CTRV,57.59997773383039,16.945098437175705
VL_C_A_TD_1,VL_C,A,TD,1,10hz,1,CTRV,55.7676948823696,17.205309066051306
VL_C_A_BU_3,VL_C,A,BU,3,full,1,CTRV,50.08462289383369,13.934391016058171
VL_C_A_BU_3,VL_C,A,BU,3,10hz,1,CTRV,40.78596448189977,2.614448191998429
VL_C_A_BU_1,VL_C,A,BU,1,full,1,CTRV,58.8225451156188,13.200578069719672
VL_C_A_BU_1,VL_C,A,BU,1,10hz,1,CTRV,53.32333358785067,8.1616387612637
VL_C_F_TD_2,VL_C,F,TD,2,full,1,CTRV,49.24054135985689,15.32556871903436
VL_C_F_TD_2,VL_C,F,TD,2,10hz,1,CTRV,46.38460514850977,7.447000658144467
VL_C_A_TD_3,VL_C,A,TD,3,full,1,CTRV,61.44584433421969,14.25971878146055
VL_C_A_TD_3,VL_C,A,TD,3,10hz,1,CTRV,63.00373684973272,7.185261374320386
VL_C_F_TD_6,VL_C,F,TD,6,full,1,CTRV,60.858283556750365,58.727141788744674
VL_C_F_TD_6,VL_C,F,TD,6,10hz,1,CTRV,56.33642098718027,10.35073859933805
VL_C_F_BU_1,VL_C,F,BU,1,full,1,CTRV,61.81999882752949,23.385736508587744
VL_C_F_BU_1,VL_C,F,BU,1,10hz,1,CTRV,60.523111340159694,10.618696100440893
VL_C_F_TD_1,VL_C,F,TD,1,full,1,CTRV,40.83082539142325,10.973404349752526
VL_C_F_TD_1,VL_C,F,TD,1,10hz,1,CTRV,34.81522532292835,4.1068037193648
VL_C_F_TD_4,VL_C,F,TD,4,full,1,CTRV,45.78647838948472,21.58749802942868
VL_C_F_TD_4,VL_C,F,TD,4,10hz,1,CTRV,46.350793220740194,9.855466965376763
VL_C_A_TD_2,VL_C,A,TD,2,full,1,CTRV,50.26819508260893,11.413862334710965
VL_C_A_TD_2,VL_C,A,TD,2,10hz,1,CTRV,52.80117703926934,5.9847863696671615
VL_C_A_BU_2,VL_C,A,BU,2,full,1,CTRV,50.02150396740253,6.272302926100324
