Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
ET_C_A_DIR_289,ET_C,A,DIR,289,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_253,ET_C,A,DIR,253,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_72,ET_C,A,DIR,72,2.5,12,CTRV,6.0,6,2.4398632785296144,2.593474067710292,5.582034266494183,0.4975334745858468
ET_C_A_DIR_210,ET_C,A,DIR,210,2.5,12,CTRV,6.0,6,1.986897568636105,2.1412987761991418,5.369519246168792,0.4488027836142108
ET_C_A_DIR_99,ET_C,A,DIR,99,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_214,ET_C,A,DIR,214,2.5,12,CTRV,6.0,6,2.543906915154514,2.105073587432732,5.976222702969875,0.4107356387488118
ET_C_A_DIR_20,ET_C,A,DIR,20,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_132,ET_C,A,DIR,132,2.5,12,CTRV,6.0,6,0.5731494498781456,0.5138528021791767,1.9226649257522013,0.1388558236803146
ET_C_A_DIR_149,ET_C,A,DIR,149,2.5,12,CTRV,6.0,6,6.064614156576632,5.871678506221464,14.487006676164174,1.1317894937103967
ET_C_A_DIR_268,ET_C,A,DIR,268,2.5,12,CTRV,6.0,6,2.5099929300520847,3.679643524550885,5.649009623037811,0.5767544282754391
ET_C_A_DIR_172,ET_C,A,DIR,172,2.5,12,CTRV,6.0,6,4.152434990196731,3.667130879214497,11.09372717275094,0.8257101162113124
ET_C_A_DIR_109,ET_C,A,DIR,109,2.5,12,CTRV,6.0,6,2.3021006873814693,2.5687710647107083,5.42609142173745,0.5109615844089476
ET_C_A_DIR_228,ET_C,A,DIR,228,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_81,ET_C,A,DIR,81,2.5,12,CTRV,6.0,6,1.5819792488635396,1.3415671257001285,3.9685455751932697,0.2823170245233705
ET_C_A_DIR_288,ET_C,A,DIR,288,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_85,ET_C,A,DIR,85,2.5,12,CTRV,6.0,6,2.258159662852578,2.629792401211964,5.9752085391516845,0.568558124771142
ET_C_A_DIR_27,ET_C,A,DIR,27,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_257,ET_C,A,DIR,257,2.5,12,CTRV,6.0,6,2.0346156995260865,2.163202643747952,4.850381450870477,0.4306026064174234
ET_C_A_DIR_358,ET_C,A,DIR,358,2.5,12,CTRV,6.0,6,0.6063653482944076,1.3109122976031944,1.283347473052902,0.2283916091428379
ET_C_A_DIR_219,ET_C,A,DIR,219,2.5,12,CTRV,6.0,6,2.9261017098952955,2.5338390660573378,7.661049370369061,0.5558198480525924
ET_C_A_DIR_261,ET_C,A,DIR,261,2.5,12,CTRV,6.0,6,3.581268261426936,3.716959325593871,8.425543241457852,0.7054124453441255
ET_C_A_DIR_258,ET_C,A,DIR,258,2.5,12,CTRV,6.0,6,1.7012527055883258,2.280999228155044,4.3801642860973535,0.4370427618365802
ET_C_A_DIR_205,ET_C,A,DIR,205,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_294,ET_C,A,DIR,294,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_246,ET_C,A,DIR,246,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_196,ET_C,A,DIR,196,2.5,12,CTRV,6.0,6,1.337153798510012,1.4959296990976458,3.0447721155763503,0.2906627978364979
ET_C_A_DIR_35,ET_C,A,DIR,35,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_152,ET_C,A,DIR,152,2.5,12,CTRV,6.0,6,1.0975126365871175,0.8789857354515088,2.473168845552364,0.1673924801917433
ET_C_A_DIR_67,ET_C,A,DIR,67,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_30,ET_C,A,DIR,30,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_186,ET_C,A,DIR,186,2.5,12,CTRV,6.0,6,3.379353962717379,3.712210353502965,8.137083853199021,0.7048666280833954
ET_C_A_DIR_114,ET_C,A,DIR,114,2.5,12,CTRV,6.0,6,2.373572566709444,2.3785295938814133,5.984158866630371,0.5569583463270137
ET_C_A_DIR_37,ET_C,A,DIR,37,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_21,ET_C,A,DIR,21,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_349,ET_C,A,DIR,349,2.5,12,CTRV,6.0,6,0.9451779434901302,0.7910174862217914,2.058306825499104,0.1455367554785968
ET_C_A_DIR_68,ET_C,A,DIR,68,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_310,ET_C,A,DIR,310,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_211,ET_C,A,DIR,211,2.5,12,CTRV,6.0,6,2.1682709145399603,2.072885781400612,5.065048040609279,0.395737249917292
ET_C_A_DIR_168,ET_C,A,DIR,168,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_248,ET_C,A,DIR,248,2.5,12,CTRV,6.0,6,1.6134711973905207,4.881522445098608,3.951828228910037,0.4682640254007522
ET_C_A_DIR_131,ET_C,A,DIR,131,2.5,12,CTRV,6.0,6,0.737723238681635,0.7083443557252616,2.9514090149750567,0.2307446923634051
ET_C_A_DIR_366,ET_C,A,DIR,366,2.5,12,CTRV,6.0,6,1.2402752523128149,1.4231076416756592,2.9696305471751527,0.2440574919393531
ET_C_A_DIR_144,ET_C,A,DIR,144,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_191,ET_C,A,DIR,191,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_6,ET_C,A,DIR,6,2.5,12,CTRV,6.0,6,1.8404301730252208,2.890084189148312,4.407112665254753,0.4991889948845478
ET_C_A_DIR_115,ET_C,A,DIR,115,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_195,ET_C,A,DIR,195,2.5,12,CTRV,6.0,6,2.170416872013184,2.4201992258135547,5.9919400946449874,0.55142561046156
ET_C_A_DIR_50,ET_C,A,DIR,50,2.5,12,CTRV,6.0,6,,,,
ET_C_A_DIR_31,ET_C,A,DIR,31,2.5,12,CTRV,6.0,6,,,,
