Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
HL_C_F_RL_2,HL_C,F,RL,2,full,8,CV,,8,4.703054382646949,1.0084419113833403,9.395402027092294,0.28256872797967075
HL_C_F_RL_2,HL_C,F,RL,2,10hz,8,CV,,8,18.764173322819822,1.6570909591628826,48.83814538339525,0.6387500648230644
HL_C_F_LR_5,HL_C,F,LR,5,full,8,CV,,8,21.7788209939471,3.9376875296516802,44.349873050700694,0.8570444245793529
HL_C_F_LR_5,HL_C,F,LR,5,10hz,8,CV,,8,41.16384240085709,4.227114085971614,83.11247936281161,1.2083340620864094
DL_C_F_TLBR_5,DL_C,F,TLBR,5,full,8,CV,,8,23.159677390252988,3.0206801888151587,46.43516816189924,0.7109697573017492
DL_C_F_TLBR_5,DL_C,F,TLBR,5,10hz,8,CV,,8,44.68912074603987,2.9144427749019934,93.67028890108882,0.7228832778163072
DL_C_F_BRTL_5,DL_C,F,BRTL,5,full,8,CV,,8,4.549195483258628,0.9700087867453727,9.704396080299691,0.3068428199644928
DL_C_F_BRTL_5,DL_C,F,BRTL,5,10hz,8,CV,,8,19.420964701449346,1.7748584469379893,52.700077147049214,0.747423469631198
DL_C_A_BRTL_2,DL_C,A,BRTL,2,full,8,CV,,8,9.155003362954702,1.4303728585915967,20.481725046622937,0.42169123249912643
DL_C_A_BRTL_2,DL_C,A,BRTL,2,10hz,8,CV,,8,25.979531432622853,1.6968362485122082,65.74227702284188,0.627397742370356
DL_C_F_BRTL_1,DL_C,F,BRTL,1,full,8,CV,,8,6.6587659214299695,1.281033695337209,13.256745205960383,0.3673671486556431
DL_C_F_BRTL_1,DL_C,F,BRTL,1,10hz,8,CV,,8,21.083221105659664,1.8589238081773138,49.329366342678526,0.6413690288061678
DL_C_F_TLBR_6,DL_C,F,TLBR,6,full,8,CV,,8,17.315248269672036,2.934683205947675,34.87400909394525,0.6493554220672965
DL_C_F_TLBR_6,DL_C,F,TLBR,6,10hz,8,CV,,8,40.18324236214566,3.291907158448517,82.83363013149844,0.781045822419276
DL_C_F_BRTL_2,DL_C,F,BRTL,2,full,8,CV,,8,5.414570605412776,0.8623827259089294,10.087163548974152,0.36920215165666126
DL_C_F_BRTL_2,DL_C,F,BRTL,2,10hz,8,CV,,8,19.973074567901342,1.6846547159211076,43.98617563462268,0.7131612715199287
