Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
U3_C_A_DIR_160,U3_C,A,DIR,160,path,12,CTRV,8,8,0.6001474004095303,24.9552386724704,1.2228059204275443,2.217771612556664
U1_C_A_DIR_126,U1_C,A,DIR,126,path,12,CTRV,8,8,0.8258730000431485,3.144016471523858,1.8540468265212064,0.5459841902622266
U1_C_A_DIR_22,U1_C,A,DIR,22,path,12,CTRV,8,8,1.1252156867644756,2.0289273290551373,2.8845490464339494,0.5039522552274682
HT_C_A_DIR_92,HT_C,A,DIR,92,path,12,CTRV,8,8,0.1033533007671985,9.38930391147154,0.1515541532030456,3.788853830076221
ET_C_A_DIR_184,ET_C,A,DIR,184,path,12,CTRV,8,8,,,,
U3_C_A_DIR_211,U3_C,A,DIR,211,path,12,CTRV,8,8,0.5385344947642524,1.4444169342556714,1.1074745877737886,0.255130504335552
U1_C_A_DIR_414,U1_C,A,DIR,414,path,12,CTRV,8,8,0.5231227361509871,9.92279295433456,1.0770220534994357,1.2632823700273783
U1_C_A_DIR_329,U1_C,A,DIR,329,path,12,CTRV,8,8,0.5236133776156737,1.4595221489977497,1.206261691596613,0.2922984884941178
U1_C_A_DIR_343,U1_C,A,DIR,343,path,12,CTRV,8,8,0.819755494480243,4.945990611839607,1.8410011109803,0.851190911670494
Z2_C_A_DIR_59,Z2_C,A,DIR,59,path,12,CTRV,8,8,0.5421087045449302,1.2519146286244185,1.2713188777553706,0.2473009395138388
U1_C_A_DIR_128,U1_C,A,DIR,128,path,12,CTRV,8,8,1.024976017340202,12.39295887319739,2.293111964064276,1.358190171093033
U3_C_A_DIR_304,U3_C,A,DIR,304,path,12,CTRV,8,8,0.3941902822101359,1.7655010074113535,0.7099506758413853,0.237854187847249
U3_C_A_DIR_94,U3_C,A,DIR,94,path,12,CTRV,8,8,0.9670186489076996,2.329834232465383,1.8953203426393983,0.3736284487315884
U3_C_A_DIR_205,U3_C,A,DIR,205,path,12,CTRV,8,8,0.5120340066361079,1.7823741049217563,1.1749574940840375,0.3209731677301092
U1_C_A_DIR_101,U1_C,A,DIR,101,path,12,CTRV,8,8,0.7812988559535842,14.17102354047438,1.7053259677992805,1.5737041393683238
ET_C_A_DIR_306,ET_C,A,DIR,306,path,12,CTRV,8,8,,,,
U1_C_A_DIR_77,U1_C,A,DIR,77,path,12,CTRV,8,8,0.8548602514586311,4.815001974709151,1.7987116705974573,0.7372285236904222
HT_C_A_DIR_282,HT_C,A,DIR,282,path,12,CTRV,8,8,0.7140413443194982,1.2076178967750433,1.402864566854635,0.1937924024070108
U3_C_A_DIR_369,U3_C,A,DIR,369,path,12,CTRV,8,8,,,,
U3_C_A_DIR_218,U3_C,A,DIR,218,path,12,CTRV,8,8,0.9445753837241254,3.163908505411011,2.12163620988375,0.6648174309857576
U3_C_A_DIR_126,U3_C,A,DIR,126,path,12,CTRV,8,8,1.9083170729509653,26.00333974705319,4.5705555102579325,1.9283140817631168
HT_C_A_DIR_129,HT_C,A,DIR,129,path,12,CTRV,8,8,,,,
U1_C_A_DIR_54,U1_C,A,DIR,54,path,12,CTRV,8,8,0.3606125173181572,3.66819445971454,0.724191455382375,0.6053433640214482
U1_C_A_DIR_228,U1_C,A,DIR,228,path,12,CTRV,8,8,0.7069790933118254,3.0526804797668503,1.538722392977506,0.5487765688209861
HT_C_A_DIR_16,HT_C,A,DIR,16,path,12,CTRV,8,8,,,,
HT_C_A_DIR_108,HT_C,A,DIR,108,path,12,CTRV,8,8,,,,
Z2_C_A_DIR_126,Z2_C,A,DIR,126,path,12,CTRV,8,8,1.4639449549299723,3.9682725509536234,3.1224491092914475,0.6556610898702977
HT_C_A_DIR_338,HT_C,A,DIR,338,path,12,CTRV,8,8,,,,
U3_C_A_DIR_145,U3_C,A,DIR,145,path,12,CTRV,8,8,1.290053856472534,2.984947847668885,3.225354907334353,0.6317439616742856
U1_C_A_DIR_191,U1_C,A,DIR,191,path,12,CTRV,8,8,0.6942510080367287,2.059901802419391,1.7708877864857933,0.3814189329687047
ET_C_A_DIR_351,ET_C,A,DIR,351,path,12,CTRV,8,8,1.6205789510588813,1.4002359127336552,5.126768178788288,0.3803645079606614
U1_C_A_DIR_342,U1_C,A,DIR,342,path,12,CTRV,8,8,1.3141736277064038,2.0080205410405263,3.0339723054971084,0.412116503957767
HT_C_A_DIR_199,HT_C,A,DIR,199,path,12,CTRV,8,8,0.8281154040992199,9.586599256846329,1.5563153579904396,1.3010461748555435
ET_C_A_DIR_133,ET_C,A,DIR,133,path,12,CTRV,8,8,,,,
U1_C_A_DIR_163,U1_C,A,DIR,163,path,12,CTRV,8,8,,,,
U3_C_A_DIR_363,U3_C,A,DIR,363,path,12,CTRV,8,8,0.4885685434113218,9.17146907410969,1.0910943969691598,1.0621434618348278
HT_C_A_DIR_341,HT_C,A,DIR,341,path,12,CTRV,8,8,1.450849732226481,2.2696679299115154,3.20192419554122,0.3991066274711393
HT_C_A_DIR_241,HT_C,A,DIR,241,path,12,CTRV,8,8,,,,
HT_C_A_DIR_265,HT_C,A,DIR,265,path,12,CTRV,8,8,0.5351441288831654,0.9007695968911356,1.2272407960797542,0.1762277606794894
U3_C_A_DIR_329,U3_C,A,DIR,329,path,12,CTRV,8,8,0.3559632114506164,6.851106761215714,0.8077704167302305,1.0409835492513635
U3_C_A_DIR_210,U3_C,A,DIR,210,path,12,CTRV,8,8,0.6459640596141629,1.7005428065863897,1.3167257915392818,0.2944296556556645
U3_C_A_DIR_188,U3_C,A,DIR,188,path,12,CTRV,8,8,1.749500090242918,3.6695706576362257,3.870669100732798,0.583057218937638
HT_C_A_DIR_119,HT_C,A,DIR,119,path,12,CTRV,8,8,0.6477268494382082,1.071908182261788,1.504364859785242,0.2106745370974866
HT_C_A_DIR_26,HT_C,A,DIR,26,path,12,CTRV,8,8,,,,
Z1_C_A_DIR_35,Z1_C,A,DIR,35,path,12,CTRV,8,8,0.476838288027274,1.8077393074031816,1.1056818467732703,0.3525287646363568
Z1_C_A_DIR_82,Z1_C,A,DIR,82,path,12,CTRV,8,8,0.7229766392622512,2.0387166986615237,1.6860385403795453,0.3955293205931887
U1_C_A_DIR_56,U1_C,A,DIR,56,path,12,CTRV,8,8,0.5657525677552355,23.05759896869201,1.193635750889689,2.242052070602884
U1_C_A_DIR_389,U1_C,A,DIR,389,path,12,CTRV,8,8,0.4569819987807068,12.880146975315403,0.9284298067091658,1.3964063087265732
U1_C_A_DIR_102,U1_C,A,DIR,102,path,12,CTRV,8,8,0.5224261183022192,2.020336340954466,1.6708815926349707,0.6990331719590006
HT_C_A_DIR_396,HT_C,A,DIR,396,path,12,CTRV,8,8,,,,
U1_C_A_DIR_32,U1_C,A,DIR,32,path,12,CTRV,8,8,1.147031641931846,4.586843042729816,2.619018310351355,0.8630482901871297
HT_C_A_DIR_81,HT_C,A,DIR,81,path,12,CTRV,8,8,,,,
U3_C_A_DIR_365,U3_C,A,DIR,365,path,12,CTRV,8,8,0.9282896975382924,2.623921539810003,2.031909216109599,0.5185317174679831
ET_C_A_DIR_166,ET_C,A,DIR,166,path,12,CTRV,8,8,,,,
Z1_C_A_DIR_133,Z1_C,A,DIR,133,path,12,CTRV,8,8,0.5669253509353372,1.6507633966538493,1.2423031170229446,0.2760682408246238
HT_C_A_DIR_379,HT_C,A,DIR,379,path,12,CTRV,8,8,,,,
ET_C_A_DIR_86,ET_C,A,DIR,86,path,12,CTRV,8,8,2.086111308883048,1.9884033971788937,5.535512267800806,0.4135919381345257
HT_C_A_DIR_301,HT_C,A,DIR,301,path,12,CTRV,8,8,0.3965196947172671,0.5511350818528892,1.086607983168722,0.1200684410365162
U3_C_A_DIR_429,U3_C,A,DIR,429,path,12,CTRV,8,8,,,,
ET_C_A_DIR_221,ET_C,A,DIR,221,path,12,CTRV,8,8,5.588718588013478,4.773170481287719,13.809219776995388,1.0122929544409307
Z2_C_A_DIR_5,Z2_C,A,DIR,5,path,12,CTRV,8,8,1.1503119456123243,2.0671323481582187,2.530106606505432,0.3445904994171325
U1_C_A_DIR_410,U1_C,A,DIR,410,path,12,CTRV,8,8,0.9158074673397492,8.167838772617975,2.0698240553700087,1.3231334939433477
U3_C_A_DIR_172,U3_C,A,DIR,172,path,12,CTRV,8,8,0.611456999631774,1.6461684761488682,1.31543146623732,0.3030320475501958
U3_C_A_DIR_20,U3_C,A,DIR,20,path,12,CTRV,8,8,0.8645935018454041,2.312031700618336,2.0432678162592253,0.4618918679581546
Z1_C_A_DIR_38,Z1_C,A,DIR,38,path,12,CTRV,8,8,0.3092707253224486,0.5766015937062013,0.6257180827033252,0.0973142706723922
U3_C_A_DIR_154,U3_C,A,DIR,154,path,12,CTRV,8,8,0.6877126410284541,1.6378238254444817,1.5872028263349378,0.3029713207687747
U3_C_A_DIR_115,U3_C,A,DIR,115,path,12,CTRV,8,8,0.6068828930301978,3.8369887951169104,1.3296446089892346,0.6127873916569624
U1_C_A_DIR_64,U1_C,A,DIR,64,path,12,CTRV,8,8,0.3703599436968129,2.0619635538075647,0.8571827723648217,0.4038267192799608
Z2_C_A_DIR_104,Z2_C,A,DIR,104,path,12,CTRV,8,8,0.4086353166495297,1.2147473085703528,0.9478667956906678,0.2309664495093831
U3_C_A_DIR_76,U3_C,A,DIR,76,path,12,CTRV,8,8,1.1086116979324203,3.737663317765029,2.3957907265810148,0.6315849482090959
HT_C_A_DIR_252,HT_C,A,DIR,252,path,12,CTRV,8,8,1.5774041272096138,3.403144410375873,3.791161913102444,0.6782696288368952
HT_C_A_DIR_21,HT_C,A,DIR,21,path,12,CTRV,8,8,,,,
U1_C_A_DIR_412,U1_C,A,DIR,412,path,12,CTRV,8,8,0.3001930433726502,2.0873472144372838,0.5413754672730539,0.3171276622124434
Z2_C_A_DIR_88,Z2_C,A,DIR,88,path,12,CTRV,8,8,0.7547442294488725,17.499358016645722,1.7223134124820323,1.725516644773406
Z2_C_A_DIR_71,Z2_C,A,DIR,71,path,12,CTRV,8,8,0.2656157615290446,7.35579153128577,0.5969129863387276,0.751863802018348
HT_C_A_DIR_134,HT_C,A,DIR,134,path,12,CTRV,8,8,,,,
U1_C_A_DIR_14,U1_C,A,DIR,14,path,12,CTRV,8,8,0.1703086188884151,0.6434148191153258,0.4144567773066887,0.1259843603018161
U3_C_A_DIR_196,U3_C,A,DIR,196,path,12,CTRV,8,8,1.3987823133058022,4.7328471104696535,2.90563406638728,0.7514561014453687
HT_C_A_DIR_30,HT_C,A,DIR,30,path,12,CTRV,8,8,,,,
U1_C_A_DIR_215,U1_C,A,DIR,215,path,12,CTRV,8,8,0.7842705503681394,6.482074007537697,1.5718290201048788,0.9002830450504712
U1_C_A_DIR_367,U1_C,A,DIR,367,path,12,CTRV,8,8,0.8713582205287763,3.1146672384974754,1.9747986291517723,0.5584972547251269
U3_C_A_DIR_317,U3_C,A,DIR,317,path,12,CTRV,8,8,1.0251594999587743,6.569580980302835,2.244729391951637,0.8465309489161328
Z2_C_A_DIR_172,Z2_C,A,DIR,172,path,12,CTRV,8,8,0.8169236521398552,2.181276469385825,1.7034999098751162,0.3228446591264527
U1_C_A_DIR_34,U1_C,A,DIR,34,path,12,CTRV,8,8,0.7039184446136109,21.030644368797336,1.5005636905096231,1.8961602336080443
U1_C_A_DIR_133,U1_C,A,DIR,133,path,12,CTRV,8,8,1.3725768455787009,6.600479169687288,3.1350068749901707,0.9857713740116896
Z2_C_A_DIR_171,Z2_C,A,DIR,171,path,12,CTRV,8,8,0.7400155180607113,1.755025076175382,1.75740638074764,0.3327595081710001
U1_C_A_DIR_285,U1_C,A,DIR,285,path,12,CTRV,8,8,0.7105508851740859,1.881515409738561,1.583652758386467,0.36472434858423
Z1_C_A_DIR_30,Z1_C,A,DIR,30,path,12,CTRV,8,8,0.6570954842309525,1.1659050943268727,1.4818000263363782,0.213883597709863
Z2_C_A_DIR_57,Z2_C,A,DIR,57,path,12,CTRV,8,8,0.2984974623099754,0.5664848865479721,0.6529596239504052,0.1012376880598463
U1_C_A_DIR_356,U1_C,A,DIR,356,path,12,CTRV,8,8,0.946005394679604,3.0633972246095573,2.193743294721245,0.6313013045588167
HT_C_A_DIR_105,HT_C,A,DIR,105,path,12,CTRV,8,8,0.0447708188327951,3.532734090030448,0.0701364958234194,0.4224555353709186
U1_C_A_DIR_239,U1_C,A,DIR,239,path,12,CTRV,8,8,,,,
Z2_C_A_DIR_82,Z2_C,A,DIR,82,path,12,CTRV,8,8,1.1344806518626218,2.4269947749889638,2.3465764050736024,0.3997543520454373
U3_C_A_DIR_31,U3_C,A,DIR,31,path,12,CTRV,8,8,1.9447032388167012,4.144903518581079,4.683316781838358,0.7513452792246339
U1_C_A_DIR_407,U1_C,A,DIR,407,path,12,CTRV,8,8,0.8396529783110334,12.62470171600522,1.841003262899127,1.3124066101701803
U3_C_A_DIR_2,U3_C,A,DIR,2,path,12,CTRV,8,8,,,,
ET_C_A_DIR_224,ET_C,A,DIR,224,path,12,CTRV,8,8,,,,
