Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Angular Avg. Window,Linear Avg. Window,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
VL_C_F_TD_2,VL_C,F,TD,2,10hz,1,CTRV,1.0,1,9.983584776981038,1.3408624496549637,9.983584776981038,1.3408624496549637
VL_C_A_TD_3,VL_C,A,TD,3,full,1,CTRV,1.0,1,4.862550540952986,1.1120090009931989,4.862550540952986,1.1120090009931989
VL_C_A_TD_3,VL_C,A,TD,3,2.5hz,1,CTRV,1.0,1,21.631165536270675,0.4327692678007031,21.631165536270675,0.4327692678007031
VL_C_A_TD_3,VL_C,A,TD,3,10hz,1,CTRV,1.0,1,12.44095453024982,1.8752866536099493,12.44095453024982,1.8752866536099493
VL_C_F_TD_6,VL_C,F,TD,6,full,1,CTRV,1.0,1,3.9586493181041287,2.247460458427143,3.9586493181041287,2.247460458427143
VL_C_F_TD_6,VL_C,F,TD,6,2.5hz,1,CTRV,1.0,1,21.874020347161032,1.317614845162468,21.874020347161032,1.317614845162468
VL_C_F_TD_6,VL_C,F,TD,6,10hz,1,CTRV,1.0,1,9.775832088989366,1.270197953187615,9.775832088989366,1.270197953187615
VL_C_F_BU_1,VL_C,F,BU,1,full,1,CTRV,1.0,1,4.533647651339514,1.4669183432965751,4.533647651339514,1.4669183432965751
VL_C_F_BU_1,VL_C,F,BU,1,2.5hz,1,CTRV,1.0,1,18.81547336242733,0.3366390166707259,18.81547336242733,0.3366390166707259
VL_C_F_BU_1,VL_C,F,BU,1,10hz,1,CTRV,1.0,1,14.573768098585177,1.8896538286881628,14.573768098585177,1.8896538286881628
VL_C_F_TD_1,VL_C,F,TD,1,full,1,CTRV,1.0,1,6.50739290768367,1.5717066829699864,6.50739290768367,1.5717066829699864
VL_C_F_TD_1,VL_C,F,TD,1,2.5hz,1,CTRV,1.0,1,7.551971677240783,0.2106956535192414,7.551971677240783,0.2106956535192414
VL_C_F_TD_1,VL_C,F,TD,1,10hz,1,CTRV,1.0,1,12.245552595621126,1.6155520827828571,12.245552595621126,1.6155520827828571
VL_C_F_TD_4,VL_C,F,TD,4,full,1,CTRV,1.0,1,3.538417362567478,1.0911814736304666,3.538417362567478,1.0911814736304666
VL_C_F_TD_4,VL_C,F,TD,4,2.5hz,1,CTRV,1.0,1,25.961484442685013,0.476220461938637,25.961484442685013,0.476220461938637
VL_C_F_TD_4,VL_C,F,TD,4,10hz,1,CTRV,1.0,1,10.489729003200942,2.1961356737574738,10.489729003200942,2.1961356737574738
VL_C_A_TD_2,VL_C,A,TD,2,full,1,CTRV,1.0,1,8.822508417967411,1.591224773417839,8.822508417967411,1.591224773417839
VL_C_A_TD_2,VL_C,A,TD,2,2.5hz,1,CTRV,1.0,1,,,,
