Dataset Name,Path Type,Acceleration Type,Path Direction,Path Number,Sample Rate,Prediction Horizon,Prediction Model,Avg. Lin. Vel.,Average ADE,Average ADE (Normalized),Average FDE,Average FDE (Normalized)
IL_C_F_RCCW_3,IL_C,F,RCCW,3,full,1,CV,True,4.120741755528257,1.648935391494114,4.120741755528257,1.648935391494114
IL_C_F_RCCW_3,IL_C,F,RCCW,3,2.5hz,1,CV,True,27.714016948847693,0.8761419884197729,27.714016948847693,0.8761419884197729
IL_C_F_RCCW_3,IL_C,F,RCCW,3,10hz,1,CV,True,9.220112953098807,1.9303829117979625,9.220112953098807,1.9303829117979625
IL_C_F_RCCW_1,IL_C,F,RCCW,1,full,1,CV,True,3.8099423079989303,1.4358019839270841,3.8099423079989303,1.4358019839270841
IL_C_F_RCCW_1,IL_C,F,RCCW,1,2.5hz,1,CV,True,22.700521007551703,0.798034830496876,22.700521007551703,0.798034830496876
IL_C_F_RCCW_1,IL_C,F,RCCW,1,10hz,1,CV,True,8.769723706112659,1.733538301198335,8.769723706112659,1.733538301198335
IL_C_A_RCW_2,IL_C,A,RCW,2,full,1,CV,True,4.774039283967409,1.3099256084084219,4.774039283967409,1.3099256084084219
IL_C_A_RCW_2,IL_C,A,RCW,2,2.5hz,1,CV,True,36.938344705422054,1.043957011034131,36.938344705422054,1.043957011034131
IL_C_A_RCW_2,IL_C,A,RCW,2,10hz,1,CV,True,10.454133152571561,1.4448969681146697,10.454133152571561,1.4448969681146697
IL_C_F_RCW_4,IL_C,F,RCW,4,full,1,CV,True,5.250711880159094,1.4562902560828819,5.250711880159094,1.4562902560828819
IL_C_F_RCW_4,IL_C,F,RCW,4,2.5hz,1,CV,True,34.4137093786941,0.902031386663911,34.4137093786941,0.902031386663911
IL_C_F_RCW_4,IL_C,F,RCW,4,10hz,1,CV,True,12.913530422549139,1.6486689091130113,12.913530422549139,1.6486689091130113
IL_C_F_RCW_6,IL_C,F,RCW,6,full,1,CV,True,4.910568919216297,1.3851968529732333,4.910568919216297,1.3851968529732333
IL_C_F_RCW_6,IL_C,F,RCW,6,2.5hz,1,CV,True,34.961443431626044,0.88614360906888,34.961443431626044,0.88614360906888
IL_C_F_RCW_6,IL_C,F,RCW,6,10hz,1,CV,True,10.877797301242648,1.7820805128377266,10.877797301242648,1.7820805128377266
IL_C_F_RCW_2,IL_C,F,RCW,2,full,1,CV,True,4.370016554473276,1.776069290554661,4.370016554473276,1.776069290554661
IL_C_F_RCW_2,IL_C,F,RCW,2,2.5hz,1,CV,True,29.645206742370938,0.9024703882445831,29.645206742370938,0.9024703882445831
IL_C_F_RCW_2,IL_C,F,RCW,2,10hz,1,CV,True,10.337424483993697,1.8781514944260502,10.337424483993697,1.8781514944260502
IL_C_F_RCW_1,IL_C,F,RCW,1,full,1,CV,True,4.677907576988833,1.379943680160561,4.677907576988833,1.379943680160561
IL_C_F_RCW_1,IL_C,F,RCW,1,2.5hz,1,CV,True,31.62342389966036,1.2242730130830974,31.62342389966036,1.2242730130830974
IL_C_F_RCW_1,IL_C,F,RCW,1,10hz,1,CV,True,10.818686616480802,1.7185185063177315,10.818686616480802,1.7185185063177315
IL_C_A_RCCW_2,IL_C,A,RCCW,2,full,1,CV,True,5.121609583487402,1.1718739071822002,5.121609583487402,1.1718739071822002
IL_C_A_RCCW_2,IL_C,A,RCCW,2,2.5hz,1,CV,True,44.51187222268684,9.114544507763902,44.51187222268684,9.114544507763902
IL_C_A_RCCW_2,IL_C,A,RCCW,2,10hz,1,CV,True,11.656413447626557,1.3879904615848093,11.656413447626557,1.3879904615848093
IL_C_A_RCCW_3,IL_C,A,RCCW,3,full,1,CV,True,4.756425177567116,1.2657871212353164,4.756425177567116,1.2657871212353164
IL_C_A_RCCW_3,IL_C,A,RCCW,3,2.5hz,1,CV,True,25.07319544934143,0.7761814132091835,25.07319544934143,0.7761814132091835
IL_C_A_RCCW_3,IL_C,A,RCCW,3,10hz,1,CV,True,10.17366858210579,1.7271341835499006,10.17366858210579,1.7271341835499006
IL_C_A_RCCW_1,IL_C,A,RCCW,1,full,1,CV,True,4.010492176275735,1.1320735755403741,4.010492176275735,1.1320735755403741
IL_C_A_RCCW_1,IL_C,A,RCCW,1,2.5hz,1,CV,True,36.50092149151188,1.1839256970680192,36.50092149151188,1.1839256970680192
IL_C_A_RCCW_1,IL_C,A,RCCW,1,10hz,1,CV,True,9.85147328113795,1.4137739011428854,9.85147328113795,1.4137739011428854
IL_C_F_RCW_7,IL_C,F,RCW,7,full,1,CV,True,4.1379052464186215,1.2331643471300888,4.1379052464186215,1.2331643471300888
IL_C_F_RCW_7,IL_C,F,RCW,7,2.5hz,1,CV,True,30.278886847448057,0.8574929303691148,30.278886847448057,0.8574929303691148
IL_C_F_RCW_7,IL_C,F,RCW,7,10hz,1,CV,True,8.608247990655016,1.6632780215423453,8.608247990655016,1.6632780215423453
IL_C_F_RCW_3,IL_C,F,RCW,3,full,1,CV,True,3.9401663710042163,1.3390763881238774,3.9401663710042163,1.3390763881238774
IL_C_F_RCW_3,IL_C,F,RCW,3,2.5hz,1,CV,True,29.640791712345596,0.8596979564721066,29.640791712345596,0.8596979564721066
IL_C_F_RCW_3,IL_C,F,RCW,3,10hz,1,CV,True,9.173821725904562,1.5744835130088284,9.173821725904562,1.5744835130088284
IL_C_A_RCW_1,IL_C,A,RCW,1,full,1,CV,True,6.468780942441846,1.3521909117892215,6.468780942441846,1.3521909117892215
